1.2.840.10008.1.1	Verification SOP Class
1.2.840.10008.5.1.4.1.1.77.1.2	VL Microscopic Image Storage
1.2.840.10008.5.1.4.1.1.77.1.2.1	Video Microscopic Image Storage
1.2.840.10008.5.1.4.1.1.77.1.3	VL Slide-Coordinates Microscopic Image Storage
1.2.840.10008.5.1.4.1.1.77.1.4	VL Photographic Image Storage
1.2.840.10008.5.1.4.1.1.77.1.4.1	Video Photographic Image Storage
1.2.840.10008.5.1.4.1.1.77.1.5.1	Ophthalmic Photography 8-Bit Image Storage
1.2.840.10008.5.1.4.1.1.77.1.5.2	Ophthalmic Photography 16-Bit Image Storage
1.2.840.10008.5.1.4.1.1.77.1.5.3	Stereometric Relationship Storage
1.2.840.10008.5.1.4.1.1.77.2	VL Multiframe Image Storage	Retired

1.2.840.10008.5.1.4.1.1.8	Standalone Overlay Storage	Retired
1.2.840.10008.5.1.4.1.1.88.11	Basic Text SR
1.2.840.10008.5.1.4.1.1.88.22	Enhanced SR
1.2.840.10008.5.1.4.1.1.88.33	Comprehensive SR
1.2.840.10008.5.1.4.1.1.88.40	Procedure Log Storage
1.2.840.10008.5.1.4.1.1.88.50	Mammography CAD SR
1.2.840.10008.5.1.4.1.1.88.59	Key Object Selection Document
1.2.840.10008.5.1.4.1.1.88.65	Chest CAD SR
1.2.840.10008.5.1.4.1.1.88.67	X-Ray Radiation Dose SR

1.2.840.10008.5.1.4.1.1.9	Standalone Curve Storage	Retired
1.2.840.10008.5.1.4.1.1.9.1.1	12-lead ECG Waveform Storage
1.2.840.10008.5.1.4.1.1.9.1.2	General ECG Waveform Storage
1.2.840.10008.5.1.4.1.1.9.1.3	Ambulatory ECG Waveform Storage
1.2.840.10008.5.1.4.1.1.9.2.1	Hemodynamic Waveform Storage
1.2.840.10008.5.1.4.1.1.9.3.1	Cardiac Electrophysiology Waveform Storage
1.2.840.10008.5.1.4.1.1.9.4.1	Basic Voice Audio Waveform Storage

1.2.840.10008.5.1.4.1.2.1.1	Patient Root Query/Retrieve Information Model – FIND
1.2.840.10008.5.1.4.1.2.1.2	Patient Root Query/Retrieve Information Model – MOVE
1.2.840.10008.5.1.4.1.2.1.3	Patient Root Query/Retrieve Information Model – GET
1.2.840.10008.5.1.4.1.2.2.1	Study Root Query/Retrieve Information Model – FIND
1.2.840.10008.5.1.4.1.2.2.2	Study Root Query/Retrieve Information Model – MOVE
1.2.840.10008.5.1.4.1.2.2.3	Study Root Query/Retrieve Information Model – GET
1.2.840.10008.5.1.4.1.2.3.1	Patient/Study Only Query/Retrieve Information Model – FIND	Retired
1.2.840.10008.5.1.4.1.2.3.2	Patient/Study Only Query/Retrieve Information Model – MOVE	Retired
1.2.840.10008.5.1.4.1.2.3.3	Patient/Study Only Query/Retrieve Information Model – GET	Retired

1.2.840.10008.5.1.4.31	Modality Worklist Information Model – FIND	 
1.2.840.10008.5.1.4.32	General Purpose Worklist Management Meta SOP Class
1.2.840.10008.5.1.4.32.1	General Purpose Worklist Information Model – FIND
1.2.840.10008.5.1.4.32.2	General Purpose Scheduled Procedure Step SOP Class
1.2.840.10008.5.1.4.32.3	General Purpose Performed Procedure Step SOP Class
1.2.840.10008.5.1.4.33	Instance Availability Notification SOP Class
1.2.840.10008.5.1.4.37.1	General Relevant Patient Information Query
1.2.840.10008.5.1.4.37.2	Breast Imaging Relevant Patient Information Query
1.2.840.10008.5.1.4.37.3	Cardiac Relevant Patient Information Query
1.2.840.10008.5.1.4.38.1	Hanging Protocol Storage
1.2.840.10008.5.1.4.38.2	Hanging Protocol Information Model – FIND
1.2.840.10008.5.1.4.38.3	Hanging Protocol Information Model – MOVE
